Exercice,Nom 2024 Commune,Nom 2024 Département,Agrégat,Montant,Montant en millions,Population totale,Montant en € par habitant
2024,Gourbeyre,Guadeloupe,Crédits de trésorerie,0.0,0.0,7617,0.0
2024,La Désirade,Guadeloupe,Crédits de trésorerie,0.0,0.0,1420,0.0
2024,Deshaies,Guadeloupe,Crédits de trésorerie,0.0,0.0,3976,0.0
2024,Grand-Bourg,Guadeloupe,Crédits de trésorerie,50000.0,0.05,4813,10.388531061707877
2024,Le Gosier,Guadeloupe,Crédits de trésorerie,0.0,0.0,27437,0.0
2024,Goyave,Guadeloupe,Crédits de trésorerie,0.0,0.0,7780,0.0
2024,Lamentin,Guadeloupe,Crédits de trésorerie,0.0,0.0,18804,0.0
2024,Morne-à-l'Eau,Guadeloupe,Crédits de trésorerie,0.0,0.0,16089,0.0
2024,Le Moule,Guadeloupe,Crédits de trésorerie,594.13,0.00059413,22949,0.0258891454965357
2024,Le Moule,Guadeloupe,Crédits de trésorerie,0.0,0.0,22949,0.0
2024,Petit-Bourg,Guadeloupe,Crédits de trésorerie,0.0,0.0,24560,0.0
2024,Petit-Canal,Guadeloupe,Crédits de trésorerie,0.0,0.0,8325,0.0
2024,Pointe-à-Pitre,Guadeloupe,Crédits de trésorerie,5200000.0,5.2,14576,356.7508232711306
2024,Pointe-à-Pitre,Guadeloupe,Crédits de trésorerie,0.0,0.0,14576,0.0
2024,Pointe-Noire,Guadeloupe,Crédits de trésorerie,0.0,0.0,6012,0.0
2024,Port-Louis,Guadeloupe,Crédits de trésorerie,0.0,0.0,5655,0.0
2024,Saint-Claude,Guadeloupe,Crédits de trésorerie,0.0,0.0,10900,0.0
2024,Saint-François,Guadeloupe,Crédits de trésorerie,675955.0,0.675955,13150,51.40342205323194
2024,Saint-François,Guadeloupe,Crédits de trésorerie,0.0,0.0,13150,0.0
2024,Saint-Louis,Guadeloupe,Crédits de trésorerie,0.0,0.0,2561,0.0
2024,Sainte-Anne,Guadeloupe,Crédits de trésorerie,0.0,0.0,24518,0.0
2024,Sainte-Rose,Guadeloupe,Crédits de trésorerie,0.0,0.0,17878,0.0
2024,Terre-de-Bas,Guadeloupe,Crédits de trésorerie,0.0,0.0,937,0.0
2024,Terre-de-Haut,Guadeloupe,Crédits de trésorerie,0.0,0.0,1544,0.0
2024,Trois-Rivières,Guadeloupe,Crédits de trésorerie,900000.0,0.9,7763,115.93456138090944
2024,Trois-Rivières,Guadeloupe,Crédits de trésorerie,0.0,0.0,7763,0.0
2024,Trois-Rivières,Guadeloupe,Crédits de trésorerie,500000.0,0.5,7763,64.4080896560608
2024,Vieux-Fort,Guadeloupe,Crédits de trésorerie,0.0,0.0,1816,0.0
2024,Vieux-Habitants,Guadeloupe,Crédits de trésorerie,0.0,0.0,7191,0.0
2024,Les Abymes,Guadeloupe,Autres impôts et taxes,35950104.7,35.950104700000004,52586,683.6440250256722
2024,Anse-Bertrand,Guadeloupe,Autres impôts et taxes,3176752.27,3.17675227,4107,773.4970221572925
2024,Baie-Mahault,Guadeloupe,Autres impôts et taxes,23086728.79,23.08672879,31370,735.9492760599298
2024,Baillif,Guadeloupe,Autres impôts et taxes,3701179.98,3.70117998,5127,721.8997425394967
2024,Basse-Terre,Guadeloupe,Autres impôts et taxes,7305658.48,7.305658480000001,9973,732.5437160332899
2024,Bouillante,Guadeloupe,Autres impôts et taxes,5047350.66,5.04735066,6729,750.0892643780651
2024,Capesterre-Belle-Eau,Guadeloupe,Autres impôts et taxes,12740701.28,12.74070128,17888,712.2485062611806
2024,Capesterre-de-Marie-Galante,Guadeloupe,Autres impôts et taxes,2561967.34,2.56196734,3226,794.16222566646
2024,Gourbeyre,Guadeloupe,Autres impôts et taxes,5508754.08,5.50875408,7617,723.2183379283182
2024,La Désirade,Guadeloupe,Autres impôts et taxes,2282222.19,2.28222219,1420,1607.198725352113
2024,Deshaies,Guadeloupe,Autres impôts et taxes,3377556.11,3.37755611,3976,849.4859431589537
2024,Grand-Bourg,Guadeloupe,Autres impôts et taxes,3775437.65,3.77543765,4813,784.4250259713276
2024,Le Gosier,Guadeloupe,Autres impôts et taxes,22516663.45,22.51666345,27437,820.667837227102
2024,Goyave,Guadeloupe,Autres impôts et taxes,5056461.35,5.056461349999999,7780,649.930764781491
2024,Lamentin,Guadeloupe,Autres impôts et taxes,12661067.58,12.66106758,18804,673.3177823867262
